batch,university,tto_name,tto_url,contact,phone,email,address,evidence_url,notes
首批,清华大学,清华大学技术转移院,https://ott.tsinghua.edu.cn/,,,,,https://ott.tsinghua.edu.cn/,官网显示其负责科技成果转化服务
第二批,北京大学,北京大学科技开发部技术转移中心,https://kjkfb.pku.edu.cn/gywm/bmzn1/jszyzx.htm,,,kjkfb@pku.edu.cn,,https://kjkfb.pku.edu.cn/gywm/bmzn1/jszyzx.htm,部门职能页；邮箱来自页面页脚
首批,北京化工大学,,,,,,,https://www.gov.cn/zhengce/zhengceku/2019-10/21/content_5442852.htm,教育部首批基地名单
首批,北京理工大学,北京理工大学技术转移中心,https://ttc.bit.edu.cn/zxgk/lxwm/index.htm,,010-68914920,,,https://ttc.bit.edu.cn/zxgk/lxwm/index.htm,技术转移中心联系我们页含电话
首批,首都师范大学,,,,,,,https://www.gov.cn/zhengce/zhengceku/2019-10/21/content_5442852.htm,教育部首批基地名单
首批,天津大学,天津大学技术转移中心,http://tjuttc.tju.edu.cn/,,,,,https://www.tju.edu.cn/kxyj/kyhz/jszy.htm,学校技术转移页面列出天津大学技术转移中心及网址
首批,天津理工大学,先进技术研究院/技术转移中心,https://iat.tjut.edu.cn/lxwm.htm,,,,,https://iat.tjut.edu.cn/lxwm.htm,有技术转移中心联系我们页
首批,河北工业大学,,,,,,,https://www.gov.cn/zhengce/zhengceku/2019-10/21/content_5442852.htm,教育部首批基地名单
首批,山西大学,,,,,,,https://www.gov.cn/zhengce/zhengceku/2019-10/21/content_5442852.htm,教育部首批基地名单
首批,大连理工大学,科技成果转化及知识产权运营公共服务平台,https://tt.dlut.edu.cn/,,,,,https://news.dlut.edu.cn/info/1011/117774.htm,学校新闻称大工科技成果转化服务平台上线并给出门户网址
首批,东北大学,科学技术研究院/成果转化,https://www.neu.edu.cn/kxyj/cgzh.htm,,,,,https://www.neu.edu.cn/kxyj/cgzh.htm,学校成果转化页面介绍成果转化体系与服务保障
首批,吉林农业大学,,,,,,,https://www.gov.cn/zhengce/zhengceku/2019-10/21/content_5442852.htm,教育部首批基地名单
首批,东北农业大学,,,,,,,https://www.gov.cn/zhengce/zhengceku/2019-10/21/content_5442852.htm,教育部首批基地名单
首批,上海交通大学,上海交通大学先进产业技术研究院,https://aitri.sjtu.edu.cn/,,,aitri@sjtu.edu.cn,上海市闵行区东川路800号,https://aitri.sjtu.edu.cn/aitri/about,产研院官网称其统筹和协调学校科技成果转移转化工作
首批,上海理工大学,科技处/技术转移中心,,,,,,https://www.usst.edu.cn/2019/0222/c929a47666/page.htm,学校新闻称科技处（技术转移中心）为职能部门
首批,东南大学,东南大学技术转移中心有限公司,https://ttc.seu.edu.cn/,,,,,https://ttc.seu.edu.cn/,官网称公司成立于2019年，为科技成果转化运作实体
首批,江南大学,江南大学技术转移中心,https://cyy.jiangnan.edu.cn/qyhz/gjjszyzx1.htm,,,,,https://cyy.jiangnan.edu.cn/qyhz/gjjszyzx1.htm,产业技术研究院页面介绍国家技术转移中心及地方分中心网络
首批,南京理工大学,南京理工大学技术转移中心,https://ttc.njust.edu.cn/architecture.html,,,,,https://ttc.njust.edu.cn/architecture.html,技术转移中心官网页面介绍机构建设与成果转移平台
首批,苏州大学,,,,,,,https://www.gov.cn/zhengce/zhengceku/2019-10/21/content_5442852.htm,教育部首批基地名单
首批,江苏大学,江苏大学技术转移中心,https://jszy.ujs.edu.cn/gywm/zzjg.htm,,0511-88780075,kjxz@ujs.edu.cn,,https://jszy.ujs.edu.cn/gywm/zzjg.htm,组织机构页含电话、传真、电子邮件
首批,浙江大学,浙江大学技术转移中心,,,,,,https://en.wikipedia.org/wiki/Technology_Transfer_Center_of_Zhejiang_University,需继续核验官方中文官网
首批,浙江工业大学,,,,,,,https://www.gov.cn/zhengce/zhengceku/2019-10/21/content_5442852.htm,教育部首批基地名单
首批,安徽工业大学,,,,,,,https://www.gov.cn/zhengce/zhengceku/2019-10/21/content_5442852.htm,教育部首批基地名单
首批,福州大学,,,,,,,https://www.gov.cn/zhengce/zhengceku/2019-10/21/content_5442852.htm,教育部首批基地名单
首批,南昌大学,,,,,,,https://www.gov.cn/zhengce/zhengceku/2019-10/21/content_5442852.htm,教育部首批基地名单
首批,山东大学,山东大学技术转移中心,https://www.ttc.sdu.edu.cn/,,,,山东省济南市历城区山大南路27号明德楼B座441,https://www.ttc.sdu.edu.cn/,官网首页显示联系地址
首批,山东科技大学,,,,,,,https://www.gov.cn/zhengce/zhengceku/2019-10/21/content_5442852.htm,教育部首批基地名单
首批,山东理工大学,,,,,,,https://www.gov.cn/zhengce/zhengceku/2019-10/21/content_5442852.htm,教育部首批基地名单
首批,河南科技大学,,,,,,,https://www.gov.cn/zhengce/zhengceku/2019-10/21/content_5442852.htm,教育部首批基地名单
首批,中国地质大学（武汉）,知识产权与技术转移中心,,,,,,https://yangtze.silkroadinfo.org.cn/2022/4/20220422122854372%E6%88%91%E5%9B%BD%E9%AB%98%E6%A0%A1%E6%8A%80%E6%9C%AF%E8%BD%AC%E7%A7%BB%E6%9C%BA%E6%9E%84%E5%BB%BA%E8%AE%BE%E6%A8%A1%E5%BC%8F%E4%B8%8E%E7%AD%96%E7%95%A5%E9%80%89%E6%8B%A9.pdf,文献提及机构名称，需官网核验
首批,华中农业大学,,,,,,,https://www.gov.cn/zhengce/zhengceku/2019-10/21/content_5442852.htm,教育部首批基地名单
首批,武汉科技大学,,,,,,,https://www.gov.cn/zhengce/zhengceku/2019-10/21/content_5442852.htm,教育部首批基地名单
首批,湖南大学,,,,,,,https://news.hnu.edu.cn/info/1003/29524.htm,学校新闻确认入选首批基地
首批,中山大学,科学研究院大学科技园管理办公室/成果转化,https://research.sysu.edu.cn/contact-us,古励,020-84113116,,,https://research.sysu.edu.cn/contact-us,联系方式页列出成果转化职责
首批,华南理工大学,,,,,,,https://www.gov.cn/zhengce/zhengceku/2019-10/21/content_5442852.htm,教育部首批基地名单；需继续核验TTO部门页
首批,华南农业大学,,,,,,,https://www.gov.cn/zhengce/zhengceku/2019-10/21/content_5442852.htm,教育部首批基地名单
首批,桂林电子科技大学,,,,,,,https://www.gov.cn/zhengce/zhengceku/2019-10/21/content_5442852.htm,教育部首批基地名单
首批,重庆理工大学,,,,,,,https://www.gov.cn/zhengce/zhengceku/2019-10/21/content_5442852.htm,教育部首批基地名单
首批,四川大学,四川大学产业技术研究院技术转移中心,https://iti.scu.edu.cn/sfw_cms/e?cid=104224&page=cms.news,,,,,https://iti.scu.edu.cn/sfw_cms/e?cid=104224&page=cms.news,中心概况页
首批,西南交通大学,西南交通大学技术转移研究院,https://ott.swjtu.edu.cn/bslc__/kjcgzh.htm,,,,西南交通大学犀浦校区综合楼105办公室,https://ott.swjtu.edu.cn/bslc__/kjcgzh.htm,页面显示联系地址
首批,四川轻化工大学,,,,,,,https://www.gov.cn/zhengce/zhengceku/2019-10/21/content_5442852.htm,教育部首批基地名单
首批,贵州医科大学,,,,,,,https://www.gov.cn/zhengce/zhengceku/2019-10/21/content_5442852.htm,教育部首批基地名单
首批,昆明理工大学,,,,,,,https://www.gov.cn/zhengce/zhengceku/2019-10/21/content_5442852.htm,教育部首批基地名单
首批,西安交通大学,西安交通大学国家技术转移中心,https://tlo.xjtu.edu.cn/,王文,13359201121,srd@xjtu.edu.cn,,https://tlo.xjtu.edu.cn/dwgk1/dwld.htm,单位领导页列出主任联系方式
首批,长安大学,,,,,,,https://www.gov.cn/zhengce/zhengceku/2019-10/21/content_5442852.htm,教育部首批基地名单
首批,西北工业大学,,,,,,,https://www.gov.cn/zhengce/zhengceku/2019-10/21/content_5442852.htm,教育部首批基地名单
首批,西北大学,科技成果转化办公室,https://kjc.nwu.edu.cn/info/1025/2353.htm,,,kych@nwu.edu.cn,,https://kjc.nwu.edu.cn/info/1025/2353.htm,联系方式页含邮箱
